wanted,position,positionid,from,start,end
Q106338466,Minister of Industry and Trade,Q16151574,Q104524120,2020-12-05,2021-04-01
Q16195184,Minister of Home Affairs,Q16147126,Q31752753,2016-06-11,2018-07-01
Q5018837,"Minister of Information, Culture, Arts and Sports",Q67203620,Q16733431,2015-12-12,2017-03-23
Q7563912,Minister of Energy and Minerals,Q110178866,Q11045555,2015-01-24,2015-11-05
Q7446653,Minister of Health,Q54087259,Q5018704,2012-05-07,2014-01-20
Q16105431,Minister of Works and Transport,Q59694390,Q5018756,2000,2005-12-21
